id,date,ward,prev,beds,cots,pts,adm,disch,tin,tout,deaths
1,2024-12-14,Med/Surg,10,20,5,15,10,8,5,6,1
2,2024-12-14,Mat/Surg,8,15,3,12,6,9,3,4,0
3,2024-12-14,Lying-In,12,25,6,18,14,13,4,7,2
4,2024-12-14,NICU,5,8,2,6,3,4,1,2,0
5,2024-12-14,CDU,7,10,4,8,5,6,2,3,1
6,2024-12-14,ICU,4,6,3,5,3,3,1,2,0
7,2024-12-14,Recovery,9,18,5,14,8,7,3,5,1
8,2024-12-14,Emergency,10,22,7,16,12,10,4,6,2
9,2024-12-14,Site Clinic,6,10,3,8,5,4,2,3,0
10,2024-12-14,Sub-Total,81,141,41,94,63,60,24,36,7
11,2024-12-14,Nursery,3,5,1,3,2,2,1,1,0
12,2024-12-14,Total,84,146,42,97,65,62,25,37,7
13,2024-12-15,Med/Surg,10,20,5,15,10,8,5,6,1
14,2024-12-15,Mat/Surg,8,15,3,12,6,9,3,4,0
15,2024-12-15,Lying-In,12,25,6,18,14,13,4,7,2
16,2024-12-15,NICU,5,8,2,6,3,4,1,2,0
17,2024-12-15,CDU,7,10,4,8,5,6,2,3,1
18,2024-12-15,ICU,4,6,3,5,3,3,1,2,0
19,2024-12-15,Recovery,9,18,5,14,8,7,3,5,1
20,2024-12-15,Emergency,10,22,7,16,12,10,4,6,2
21,2024-12-15,Site Clinic,6,10,3,8,5,4,2,3,0
22,2024-12-15,Sub-Total,81,141,41,94,63,60,24,36,7
23,2024-12-15,Nursery,3,5,1,3,2,2,1,1,0
24,2024-12-15,Total,84,146,42,97,65,62,25,37,7
25,2024-12-16,Med/Surg,10,20,5,15,10,8,5,6,1
26,2024-12-16,Mat/Surg,8,15,3,12,6,9,3,4,0
27,2024-12-16,Lying-In,12,25,6,18,14,13,4,7,2
28,2024-12-16,NICU,5,8,2,6,3,4,1,2,0
29,2024-12-16,CDU,7,10,4,8,5,6,2,3,1
30,2024-12-16,ICU,4,6,3,5,3,3,1,2,0
31,2024-12-16,Recovery,9,18,5,14,8,7,3,5,1
32,2024-12-16,Emergency,10,22,7,16,12,10,4,6,2
33,2024-12-16,Site Clinic,6,10,3,8,5,4,2,3,0
34,2024-12-16,Sub-Total,81,141,41,94,63,60,24,36,7
35,2024-12-16,Nursery,3,5,1,3,2,2,1,1,0
36,2024-12-16,Total,84,146,42,97,65,62,25,37,7
37,2024-12-17,Med/Surg,10,20,5,15,10,8,5,6,1
38,2024-12-17,Mat/Surg,8,15,3,12,6,9,3,4,0
39,2024-12-17,Lying-In,12,25,6,18,14,13,4,7,2
40,2024-12-17,NICU,5,8,2,6,3,4,1,2,0
41,2024-12-17,CDU,7,10,4,8,5,6,2,3,1
42,2024-12-17,ICU,4,6,3,5,3,3,1,2,0
43,2024-12-17,Recovery,9,18,5,14,8,7,3,5,1
44,2024-12-17,Emergency,10,22,7,16,12,10,4,6,2
45,2024-12-17,Site Clinic,6,10,3,8,5,4,2,3,0
46,2024-12-17,Sub-Total,81,141,41,94,63,60,24,36,7
47,2024-12-17,Nursery,3,5,1,3,2,2,1,1,0
48,2024-12-17,Total,84,146,42,97,65,62,25,37,7
49,2024-12-18,Med/Surg,10,20,5,15,10,8,5,6,1
50,2024-12-18,Mat/Surg,8,15,3,12,6,9,3,4,0
51,2024-12-18,Lying-In,12,25,6,18,14,13,4,7,2
52,2024-12-18,NICU,5,8,2,6,3,4,1,2,0
53,2024-12-18,CDU,7,10,4,8,5,6,2,3,1
54,2024-12-18,ICU,4,6,3,5,3,3,1,2,0
55,2024-12-18,Recovery,9,18,5,14,8,7,3,5,1
56,2024-12-18,Emergency,10,22,7,16,12,10,4,6,2
57,2024-12-18,Site Clinic,6,10,3,8,5,4,2,3,0
58,2024-12-18,Sub-Total,81,141,41,94,63,60,24,36,7
59,2024-12-18,Nursery,3,5,1,3,2,2,1,1,0
60,2024-12-18,Total,84,146,42,97,65,62,25,37,7
61,2024-12-19,Med/Surg,10,20,5,15,10,8,5,6,1
62,2024-12-19,Mat/Surg,8,15,3,12,6,9,3,4,0
63,2024-12-19,Lying-In,12,25,6,18,14,13,4,7,2
64,2024-12-19,NICU,5,8,2,6,3,4,1,2,0
65,2024-12-19,CDU,7,10,4,8,5,6,2,3,1
66,2024-12-19,ICU,4,6,3,5,3,3,1,2,0
67,2024-12-19,Recovery,9,18,5,14,8,7,3,5,1
68,2024-12-19,Emergency,10,22,7,16,12,10,4,6,2
69,2024-12-19,Site Clinic,6,10,3,8,5,4,2,3,0
70,2024-12-19,Sub-Total,81,141,41,94,63,60,24,36,7
